,wer_score
0,9.0
1,3.6666666666666665
2,4.636363636363637
3,21.0
4,9.25
5,21.0
6,0.9411764705882353
7,23.0
8,8.666666666666666
9,4.0
10,2.1
11,15.5
12,2.473684210526316
13,3.888888888888889
14,1.6666666666666667
15,1.0
16,0.38461538461538464
17,1.9
18,3.6153846153846154
19,4.076923076923077
20,3.0
21,1.303030303030303
22,2.15
23,2.2857142857142856
24,1.2571428571428571
25,1.4
26,1.2857142857142858
27,0.5609756097560976
28,1.1764705882352942
29,1.05
30,0.5294117647058824
31,0.5
32,1.125
33,1.0588235294117647
34,0.1
35,1.368421052631579
36,0.8333333333333334
37,0.8
38,0.07142857142857142
39,1.5833333333333333
40,3.5714285714285716
41,1.9130434782608696
42,2.2
43,3.5
44,1.5769230769230769
45,2.176470588235294
46,2.1176470588235294
47,1.3125
48,0.058823529411764705
49,0.76
50,1.5263157894736843
51,1.1481481481481481
52,0.9333333333333333
53,2.125
54,0.6111111111111112
55,0.3333333333333333
56,2.2
57,2.357142857142857
58,1.6
59,2.9285714285714284
60,0.7727272727272727
61,0.30434782608695654
62,2.0526315789473686
63,1.4615384615384615
64,0.56
65,0.7058823529411765
66,0.3333333333333333
67,3.090909090909091
68,4.7272727272727275
69,1.1904761904761905
70,1.12
71,1.9444444444444444
72,1.8888888888888888
73,2.6875
74,2.15
75,2.6315789473684212
76,2.3125
77,2.2857142857142856
78,2.909090909090909
79,3.142857142857143
80,1.45
81,0.6666666666666666
82,0.6666666666666666
83,0.9411764705882353
84,1.1785714285714286
85,1.7586206896551724
86,1.434782608695652
87,0.7321428571428571
88,0.8
89,0.84
90,1.8571428571428572
91,0.09090909090909091
92,1.0
93,1.6666666666666667
94,0.06666666666666667
95,0.9166666666666666
96,0.7
97,0.9393939393939394
98,0.68
99,1.1923076923076923
100,1.8214285714285714
101,0.71875
102,2.642857142857143
103,1.4090909090909092
104,1.375
105,1.3333333333333333
106,1.2857142857142858
107,1.0
108,1.2083333333333333
109,0.96
110,0.7333333333333333
111,2.6923076923076925
112,1.5333333333333334
113,0.47619047619047616
114,2.210526315789474
115,2.3157894736842106
116,1.1153846153846154
117,1.0
118,1.6111111111111112
119,2.3333333333333335
120,2.357142857142857
121,4.083333333333333
122,2.2
123,3.0
124,4.083333333333333
125,3.375
126,4.0
127,2.3636363636363638
128,3.8181818181818183
129,5.875
130,3.6666666666666665
131,0.05555555555555555
132,1.565217391304348
133,0.7777777777777778
134,1.7222222222222223
